# title,"Budgeting Summary (lut=0.350ns/net=0.239ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-5.303","10.000","-0.011","0.035","15.284","7.602","7.682","79","18","9 (*)","28","-1.923","3.681","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(8) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[5]/D}"
"ap_clk","-5.283","10.000","-0.011","0.035","15.263","7.565","7.698","79","18","9 (*)","28","-1.887","3.680","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(10) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[3]/D}"
"ap_clk","-5.237","10.000","-0.011","0.035","15.217","7.550","7.667","78","17","10 (*)","28","-1.633","4.030","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[18]/D}"
"ap_clk","-5.234","10.000","-0.011","0.035","15.215","7.678","7.537","79","18","9 (*)","28","-1.999","3.681","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(8) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[2]/D}"
"ap_clk","-5.233","10.000","-0.011","0.035","15.214","7.504","7.710","79","18","10 (*)","28","-1.825","3.681","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(10) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[8]/D}"
"ap_clk","-5.217","10.000","-0.010","0.035","15.198","7.502","7.696","78","17","10 (*)","28","-1.584","4.031","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(1) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[0]/D}"
"ap_clk","-5.216","10.000","-0.012","0.035","15.195","7.578","7.617","78","17","9 (*)","28","-1.662","4.029","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) FDSE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/tmp_48_reg_3253_reg[19]/D}"
"ap_clk","-5.215","10.000","-0.011","0.035","15.196","7.579","7.617","79","18","9 (*)","28","-1.900","3.681","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(10) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[6]/D}"
"ap_clk","-5.209","10.000","-0.010","0.035","15.190","7.440","7.750","78","17","10 (*)","28","-1.522","4.031","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT6(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs_reg_3238_reg[3]_inv/D}"
"ap_clk","-5.200","10.000","-0.012","0.035","15.180","7.416","7.764","78","17","10 (*)","28","-1.499","4.030","FDRE(71) LUT5(2) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT3(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(65) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(67) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(77) LUT4(1) CARRY8(1) CARRY8(1) CARRY8(1) CARRY8(66) LUT3(1) FDRE","{bd_0_i/hls_inst/inst/k2_stats_U0/icmp_ln214_reg_3243_reg[0]/C --> bd_0_i/hls_inst/inst/k2_stats_U0/sum_abs4_fu_200_reg[19]/D}"
